restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein
KFC,10 Pc Fried Leg,2880,82.6,33,0.2,112,1.1,85.1,45,0,178.6
KFC,"Super Sixes (4 HC, 6 HW,
8 Strips)",2816.5,41.5,17,0.08,57,0.8,39.5,23,0,172.1
KFC,"Triple Treat (4 HC + 4
Smoky + 6 Boneless
Strips)",2475.4,43.1,16.6,0.07,59,0.9,41.7,24,0,203
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,141,24,2,475,6080,103,2,3,186
KFC,"10 for 550
(10 pc HC)
on Wednesdays",2382.2,49.8,19.7,0.11,70,0.7,38.8,28,0,143.3
KFC,"Friendship Bucket DL(3pc HC+3pc HW+3pc Strips + Large
Popcorn)",2131.4,42.2,17.5,0.07,58,0.9,41.1,23,0,124.8
KFC,8 pc Bucket,2117.5,44.2,17.5,0.1,62,0.6,34.5,25,0,127.4
Mcdonalds,40 piece Chicken McNuggets,1770,107,18,0.5,295,3370,105,7,1,98
KFC,Big Eight ( 4pc smoky+ 4pc HC),1758.2,30.6,11.2,0.07,43,0.6,27.9,17,0,149
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,66,10,0,265,4450,156,5,87,97
KFC,6 Pc,1588.2,49.8,19.7,0.11,70,0.7,38.8,28,0,95.6
KFC,"Mixed Zinger Doubles( 1 ch Zinger+1 Tandoori
Zinger)",1562.9,29.5,8.7,0.03,31,0.4,62.8,12,5.75,54
Burger King,American Brewhouse King,1550,126,47,8,805,1820,21,3,7,134
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,88,15,1,295,3770,64,1,2,115
KFC,5 Pc Fried Leg,1440,41.3,16.5,0.08,56,0.5,42.6,22,0,89.3
KFC,"Dips Bucket (12 Pc + 4
Dips)",1434.5,24.9,10.9,0.03,33,0.6,27.6,13,10.53,108.1
KFC,"12 for 350
(12 BS + 4
dips) on Wednesdays",1434.5,24.9,10.9,0,33,0.6,27.6,13,0,108.1
KFC,8 pc Bucket,1398.8,17,4.9,0.05,24,0.6,21.4,10,0,170.5
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,100,17,0,190,2180,69,4,10,23
KFC,"Chick & Share Bucket: 5 pc
Hot & Crispy",1323.5,41.5,16.4,0.09,58,0.5,32.3,23,0,79.6
Pizza Hut,Chicken Supreme (Personal),1309.75,15.28,6.06,0.16,27.36,1309.75,41.48,4.09,0,20.55
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,92,36,4,260,1630,44,2,7,67
KFC,Mingles Bucket,1269.4,35.9,15.2,0.05,48,0.9,46.8,19,0,62.3
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260,66,11,1,120,3500,121,12,4,49
Burger King,Rodeo King,1250,82,31,3.5,230,2270,69,3,14,60
Burger King,Farmhouse King,1220,80,28,3,335,2050,62,,15,
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,87,34,4,245,1520,45,2,8,63
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,70,12,1,240,3230,52,1,4,94
KFC,Chick & Share Bucket: 10 pc Strips,1195.4,31.1,13.6,0.05,41,0.8,34.5,16,0,90.1
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,57,10,1,90,2610,126,8,9,44
Subway,Footlong Big Hot Pastrami,1160,62,22,0,170,2940,94,10,14,58
KFC,"Chick & Share Bucket: Xtra
Large Popcorn",1156,33.1,14.5,0.05,44,1.2,38.2,18,0,63.6
Subway,Footlong Carved Turkey & Bacon w/ Cheese,1140,52,14,0,140,3200,92,10,16,66
Subway,Footlong Chicken & Bacon Ranch Melt,1140,56,20,2,190,2160,94,10,16,70
Mcdonalds,Double Bacon Smokehouse Burger,1130,67,27,3,220,1920,63,3,18,70
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,76,32,4,235,1620,47,2,11,63
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,76,32,4,235,1550,44,2,8,63
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,76,32,4,235,1690,43,2,7,63
Subway,Footlong Italian Hero,1100,58,20,0,150,2940,94,10,18,52
Burger King,BBQ Bacon King,1100,75,29,3,220,1850,51,,13,57
Burger King,Steakhouse King,1100,74,24,1,180,1620,59,,13,50
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,51,9,1,75,2390,118,8,9,37
KFC,4 pc,1058.8,33.2,13.1,0.07,47,0.4,25.8,19,0,63.7
Dairy Queen,Large Cheese Curds,1050,75,43,1,180,2210,52,0,30,43
KFC,6 Pc,1049.1,19.2,5.5,0.06,27,0.7,24.1,11,0,127.9
Burger King,Bacon King,1040,48,28,2.5,220,1900,48,1,10,57
Arbys,Triple Decker Sandwich,1030,51,17,1,155,2940,83,5,19,62
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,1030,53,9,1,80,2780,105,9,4,35
KFC,"Friendship Bucket DI/TA(3pc HC+3pc HW+3pc Strips +Med
Popcorn)",1022.6,21.9,4.5,0.07,15,0.5,24.4,6,1.16,34.9
Subway,Footlong Big Philly Cheesesteak,1000,34,18,2,170,2620,102,12,16,76
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,61,12,0.5,125,4520,70,5,12,23
Dairy Queen,1/2 lb. FlameThrower® GrillBurger,1000,74,26,2,170,1610,40,2,9,46
Burger King,Bacon & Swiss Sourdough King,1000,65,24,3,200,1320,48,2,8,56
KFC,Tandoori Zinger Burger,999.9,32.3,9.2,0.02,33,0.4,68.5,13,0,27.4
Burger King,DOUBLE WHOPPER w/ Cheese,990,65,24,2,160,1480,53,3,11,52
Burger King,Jalapeno King Sandwich,990,65,24,3,205,1550,46,2,7,55
Arbys,Ultimate BLT,980,55,14,0,85,2130,80,6,19,43
Subway,Footlong Turkey Italiano Melt (with Provolone),980,48,18,2,100,2960,94,10,16,48
Burger King,Sourdough King Double,970,61,24,3,205,1640,52,2,12,55
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,46,8,1,55,2160,109,7,9,30
Chick Fil-A,30 piece Chicken Nuggets,970,46,2.5,0,285,3660,35,4,1,103
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,40,6,0,160,2670,94,3,52,58
Subway,Footlong Meatball Marinara,960,36,14,2,60,1900,118,16,24,42
Subway,Footlong Spicy Italian,960,48,18,2,100,3040,92,10,16,40
Burger King,20 Piece Chicken Nuggets,950,55,11,0,130,1530,50,5,0,51
Subway,Footlong Corned Beef Reuben,940,30,9,0,170,3540,90,14,24,78
Subway,Footlong Tuna,940,48,8,0,60,1240,88,10,12,40
Burger King,Mushroom & Swiss King,940,63,21,2.5,175,1380,45,,8,49
Subway,Footlong Chicken Pizziola Melt,920,32,12,0,160,2280,98,12,18,64
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,45,12,0.5,120,1980,81,4,18,46
Dairy Queen,Steak Finger Basket,910,48,13,0.5,45,2210,95,5,2,23
Burger King,Double Quarter Pound King,900,54,25,3,210,1740,50,2,11,56
Burger King,DOUBLE WHOPPER w/o Cheese,900,57,19,2,140,1050,51,3,11,47
Mcdonalds,20 Piece Chicken McNuggets,890,53,9,0,145,1680,53,4,0,49
Taco Bell,XXL Grilled Stuft Burrito - Beef,880,42,14,1,75,2020,94,12,6,31
KFC,5 PC,874.3,16,4.6,0.05,22,0.6,20.1,9,0,106.6
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,59,20,2,140,1350,45,2,7,39
Subway,Footlong BBQ Rib Sandwich,860,36,12,0,100,1180,94,10,16,38
Chick Fil-A,Chicken Enchiladas Meal Kit,860,47,16,1,100,2520,70,,8,39
Arbys,Pecan Chicken Salad Sandwich,840,44,6,0.5,75,1210,81,6,20,33
Mcdonalds,Single Bacon Smokehouse Burger,840,45,17,1.5,130,1580,62,2,18,46
Subway,Footlong Subway Seafood Sensation,840,38,6,0,40,1380,102,10,16,26
Burger King,Sourdough Chicken Club,840,51,12,1,95,1760,62,3,7,32
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,52,14,0.5,110,2100,57,,9,34
Sonic,Footlong Quarter Pound Coney,830,54,22,1,85,1940,54,3,9,30
Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,35,11,0,85,1940,91,10,6,37
Subway,Footlong Italian B.M.T.,820,32,12,0,90,2600,92,10,16,40
Subway,Sausage Pizza,820,34,14,0,70,1420,97,4,8,39
Taco Bell,XXL Grilled Stuft Burrito - Steak,820,36,12,1,70,2020,91,10,7,33
Subway,"Turkey, Bacon & Guacamole Wrap",810,42,13,0.5,75,2970,62,3,6,43
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,36,9,0.5,95,1820,80,5,18,39
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,34,10,0.5,80,2420,79,5,16,45
Dairy Queen,1/2 lb. GrillBurger with Cheese,800,51,20,2,135,1280,44,3,13,40
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,54,18,2,130,1090,44,2,7,35
Subway,Pepperoni Pizza,790,32,13,0,60,1350,96,4,8,38
KFC,2 Classic Chicken Crisper,787.4,9.3,4,0.02,12,0.5,56.8,5,3.72,41.3
Subway,Footlong Veggie Patty,780,14,2,0,20,1600,112,16,16,46
Subway,Footlong Turkey & Bacon Avocado,780,26,7,0,60,1720,98,16,14,44
Taco Bell,Spicy Triple Double Crunchwrap,780,38,10,0.5,50,1850,87,9,8,23
Taco Bell,Cantina Power Burrito - Steak,780,28,7,0,50,1900,98,13,7,33
Dairy Queen,DQ Ultimate® Burger,780,48,22,2,150,1390,34,1,7,41
Taco Bell,Fiesta Taco Salad-Beef,780,42,10,1,60,1340,74,11,7,26
KFC,"Dynamite Spicy Mayo bottle -200
g",774,7,1.2,0,5,0.1,3.4,2,1.6,2
Mcdonalds,Double Quarter Pounder® with Cheese,770,45,21,2.5,175,1290,42,3,10,51
Burger King,Bacon & Cheese Whopper,770,48,16,2,95,1360,47,2,9,29
Subway,Footlong Sweet Onion Chicken Teriyaki,760,10,2,0,100,1800,118,10,36,52
Subway,Footlong Steak and Cheese,760,20,10,0,100,2120,96,10,16,52
Burger King,WHOPPER w/ Cheese,760,47,16,1,100,1410,53,3,11,33
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,45,11,0,95,1720,58,3,8,32
Subway,Chipotle Southwest Steak & Cheese Wrap,760,37,12,1,100,2250,65,4,7,43
Taco Bell,Cantina Power Burrito - Chicken,760,27,6,0,60,1960,96,12,7,32
Dairy Queen,Chili Cheese Mega Dog,760,49,21,2,100,1570,48,2,6,32
Taco Bell,Nachos BellGrande®,760,39,6,0,30,1100,82,13,5,18
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,44,8,0.5,145,1890,32,1,1,58
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,31,10,0.5,155,1940,62,2,18,55
Arbys,Half Pound French Dip & Swiss,750,36,17,2,150,3350,51,2,3,55
Arbys,Smoke Mountain w/ Beef Short Rib,740,35,13,1,125,2050,62,4,17,43
Subway,Footlong Subway Melt (includes cheese),740,22,10,0,90,1420,94,10,16,46
Subway,Footlong Cold Cut Combo,740,26,8,0,100,2280,92,10,14,36
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,35,9,0.5,95,1780,69,5,14,39
Sonic,Deluxe Ultimate Chicken Sandwich,740,39,8,0,90,1550,63,4,12,33
Arbys,Half Pound Beef 'n Cheddar Sandwich,740,39,14,2,130,2530,48,2,9,49
Subway,Cheese & Veggies Pizza,740,25,11,0,50,1270,100,5,9,36
Taco Bell,Cantina Power Burrito - Veggie,740,26,5,0,10,1750,107,17,8,20
Sonic,Sonic Burger W/ Mayonnaise,740,48,15,2,110,760,44,2,7,31
Arbys,Turkey Avocado Club,730,28,6,0,65,2140,80,6,16,41
Burger King,Bacon King Jr,730,39,9,0,90,1930,63,0,16,32
Burger King,Chicken Cordon Bleu Sandwich,730,39,9,0,90,1930,63,,16,32
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,33,7,0,80,1430,75,5,13,32
Burger King,Sourdough King Single,730,43,16,1.5,125,1570,52,2,12,35
Sonic,Traditional Ultimate Chicken Sandwich,730,39,8,0,90,1540,62,3,11,32
Subway,Rotisserie-Style Chicken Caesar Wrap,730,34,10,0.5,135,1900,53,3,4,55
Sonic,Sonic Cheeseburger W/ Ketchup,720,43,17,2,120,1190,47,2,10,35
Taco Bell,Fiesta Taco Salad-Steak,720,36,8,1,55,1340,70,8,8,28
Taco Bell,Fiesta Taco Salad-Chicken,720,35,7,0,70,1260,70,8,8,32
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,50,13,0,120,1960,32,5,7,36
Chick Fil-A,Chicken Parmesan Meal Kit,720,31,15,0,120,1780,65,,7,48
Arbys,Super Greek Salad,720,53,15,0,85,1310,39,5,7,22
KFC,Boneless Strips 6pc,717.2,37.3,16.3,0.06,49,0.9,41.3,20,0,54.1
Arbys,Roast Turkey & Swiss Sandwich,710,28,7,0,65,1930,79,5,15,38
Arbys,Pecan Chicken Salad Flatbread,710,46,7,0.5,65,980,53,4,9,22
Sonic,Hatch Green Chile Cheeseburger,710,43,17,2,120,1120,44,2,7,35
Sonic,Sonic Cheeseburger W/ Mustard,710,43,17,2,120,1120,43,2,7,35
Arbys,Greek Gyro,710,44,13,0,75,1360,55,4,6,23
Taco Bell,Smothered Burrito - Beef,710,35,13,1,75,2260,70,10,4,28
Taco Bell,Nacho Fries Bellgrande,710,41,6,0,30,1420,73,10,4,13
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,41,9,0,80,1090,54,5,37,28
Subway,Footlong Rotisserie Style Chicken,700,12,3,0,100,1080,88,10,14,58
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,34,9,0,85,1190,67,5,11,33
Burger King,Spicy Crispy Chicken Sandwich,700,42,7,0,65,1140,57,3,8,25
Taco Bell,Original Triple Double Crunchwrap,700,30,9,0.5,45,1550,85,9,7,23
KFC,4 pc,699.4,25.5,7.3,0.07,36,1,32.1,14,0,85.3
Arbys,Bourbon BBQ Chicken Sandwich,690,31,9,0,90,1990,66,3,16,38
Arbys,Bourbon BBQ Steak Sandwich,690,31,9,0,90,1990,66,3,16,38
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,37,14,1.5,110,1310,51,3,14,38
Burger King,Chicken BLT Salad w/ Crispy Chicken,690,48,12,1,100,1750,31,4,8,35
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,35,10,0,110,2000,53,1,7,41
Pizza Hut,Veg Kebab Surprise (Medium),689.23,24.94,9.02,0.23,30.5,1534.81,83.59,7.37,0,32.61
KFC,2 Classic veg Crispers,684.4,27.6,9.5,0.03,30,0.4,54.6,12,6.32,17.7
Pizza Hut,Tandoori Paneer (Medium),682.97,22.15,8.56,0.28,27.82,1233.43,98.04,9.07,0,22.88
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,32,7,0,80,1430,69,6,12,31
Arbys,Loaded Italian Sandwich,680,40,14,0.5,100,2270,49,3,7,32
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,39,9,0,80,1120,53,4,7,31
Subway,Cheese Pizza,680,22,9,0,40,1070,96,4,7,32
Arbys,Reuben Sandwich,680,31,8,0.5,80,2420,62,4,5,37
Mcdonalds,Signature Sriracha Burger,670,35,12,1.5,95,1010,56,4,13,32
Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,43,7,0,80,1760,40,5,8,34
Burger King,Crispy Chicken Sandwich,670,41,7,0.5,60,1070,54,2,7,23
Taco Bell,Smothered Burrito - Steak,670,29,11,0.5,80,2080,68,7,4,35
Dominos,ZINGY PARCEL CHICKEN ,667.5,31.3,14.1,0.56,541.49,,17.3,16.92,10.6,19.2
Subway,Footlong Carved Turkey,660,10,2,0,90,1780,90,10,14,50
Burger King,WHOPPER w/o Cheese,660,40,12,1.5,90,980,49,2,11,28
Arbys,Bourbon BBQ Brisket Sandwich,650,33,12,1,105,1460,51,2,15,38
Sonic,Sonic Burger W/ Ketchup,650,37,14,2,100,860,46,2,10,32
Arbys,Three Cheese Steak Sandwich,650,36,15,1,115,1760,44,2,9,30
Arbys,Buttermilk Chicken Bacon & Swiss,650,31,9,0,90,1750,56,2,9,39
Taco Bell,Beef Quesarito,650,34,12,0.5,60,1450,65,6,5,22
Taco Bell,Smothered Burrito - Shredded Chicken,650,28,10,0,70,2230,67,8,4,34
Taco Bell,Crispy Chicken Quesadilla,650,37,13,0.5,75,1480,51,5,3,26
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,27,4,0,105,1780,63,2,35,39
Subway,Footlong Oven Roasted Chicken,640,10,4,0,50,1280,44,10,16,46
Subway,Footlong Roast Beef,640,10,4,0,80,1400,90,10,14,48
Subway,Footlong B.L.T.,640,18,8,0,40,1360,86,10,12,30
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,36,14,1.5,110,1260,40,3,10,37
Dairy Queen,Deluxe Double Cheeseburger,640,34,18,2,125,1240,35,1,9,34
Sonic,Sonic Burger W/ Mustard,640,37,14,2,100,790,43,2,7,31
Sonic,Jalapeno Burger,640,37,14,2,100,930,42,2,6,31
Arbys,Fire-Roasted Philly Steak,640,32,11,0.5,105,1950,46,3,4,42
Dairy Queen,Chicken Mozzarella Sandwich,640,25,8,0,60,1530,68,4,3,34
Pizza Hut,Momo Mia Chicken (Medium),634.16,23.23,9.74,0.36,29.58,1038.25,78.58,11.09,5.67,27.69
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,22,7,0,135,1930,61,4,18,48
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,630,37,13,1,95,1250,44,2,13,30
Arbys,Beef 'n Cheddar Mid,630,32,11,1.5,100,2100,48,2,9,39
Dairy Queen,Original Double Cheeseburger,630,34,18,2,125,1240,34,1,9,34
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,26,10,0.5,45,1530,76,7,5,22
Taco Bell,Steak Quesarito,630,31,11,0.5,65,1410,64,3,4,25
Burger King,Original Chicken Sandwich,630,39,7,1,65,1390,46,3,4,24
Pizza Hut,Momo Mia Veg (Medium),627.36,23.21,10.13,0.41,24.42,918.75,80.18,11.49,6.37,24.44
KFC,Veg Zinger Burger,623,25.7,9.5,0.02,28,0.4,83.4,11,14.13,14.5
Dominos,ZINGY PARCEL VEG ,620.4,30.5,15.1,0.6,2119.75,,69.5,18.12,8.8,16.9
Subway,Footlong Subway Club,620,10,4,0,80,1760,92,10,14,46
Mcdonalds,Garlic White Cheddar Burger,620,34,13,1.5,95,790,48,3,11,32
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,34,11,0.5,85,2130,39,4,6,37
Taco Bell,Chicken Quesarito,620,30,10,0,60,1440,64,4,4,24
Taco Bell,Chickstar,620,37,8,0,50,1290,53,4,4,17
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,30,7,0,110,1570,44,3,8,40
Arbys,Half Pound Roast Beef Sandwich,610,30,12,2,130,2040,38,2,5,48
Taco Bell,Steak Crunchy Cheesy Core Burrito,610,24,9,0,50,1520,75,5,5,25
Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,24,9,0,55,1510,74,5,5,25
Sonic,Large Spicy Jumbo Popcorn Chicken,610,30,5,0,80,1500,51,3,0,36
Pizza Hut,Double Paneer Supreme (Medium),607.41,25.96,11.85,0.42,91.9,1445.53,67.73,4.85,0,25.71
