restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein
Pizza Hut,Indi Rockin Roll - Veg,289.81,14.25,6.02,0.1,36.05,632.04,28.58,2.35,6.96,11.81
Dominos,NON-VEG SUPREME LARGE,287.9,6.3,3.9,0.16,289.17,,45.9,4.68,5,12
Dominos,CHICKEN SALAMI SPECIAL LARGE,283.7,13.4,12.4,0.5,393.96,,29.4,14.88,3.9,11.4
KFC,Veg Strips 4pc,280.5,13.6,6.3,0.02,17,0.6,32.4,7,1.98,7
Subway,"6"" Turkey Breast & Ham",280,4,1,0,20,820,46,5,8,18
Subway,"6"" Turkey Breast",280,4,1,0,20,810,46,5,7,18
Dairy Queen,Crispy Chicken Garden Greens Salad,280,13,2,0,40,670,24,9,6,17
Subway,Carved Turkey & Bacon w/ Cheese Salad,280,12,4.5,0,65,1320,11,4,5,28
Starbucks,Egg & Cheddar on English Muffin,280,13,5,0.2,160,460,27,2,2,12
Dairy Queen,Grilled Chicken Wrap,280,15,4,0,30,800,22,1,1,15
Sonic,3 Piece Crispy Chicken Tender Dinner,280,14,2.5,0,0,800,16,0,0,22
Dominos,DOUBLE CHEESE MARGHERITA LARGE,279.3,6.2,3.9,0.16,269.08,,43.4,4.68,5.7,12.5
Dominos,CLOUD 11 LARGE,274.2,8.3,5.9,0.24,311.25,,37.5,7.08,4.1,12.4
Dominos,CHEESE & PEPPERONI LARGE,272.3,9.6,5.5,0.22,318.72,,33.2,6.6,4.1,13.2
KFC,Popcorn Reg,272,15.6,6.8,0.02,20,0.6,18,8,0,15
Pizza Hut,Garlic Bread Spicy Supreme,270.17,14.7,9.99,0.45,9.07,887.49,29.21,2.7,1,5.27
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,9,1,0,80,740,18,5,10,31
Taco Bell,Gordita Supreme® - Steak,270,11,4,0,30,550,29,2,6,14
Taco Bell,Gordita Supreme® - Chicken,270,10,4,0,40,510,29,2,6,16
Starbucks,Pepperoni and Tomato Savoury Foldover,270,14,7,0,50,510,27,3,6,10
Starbucks,Butter Croissant,270,14,9,0,55,320,28,1,6,6
Starbucks,Everything with Cheese Bagel,270,2,1,0,0,480,54,2,5,10
Chick Fil-A,Chick-n-Slider,270,11,2.5,0,45,800,26,1,4,16
Taco Bell,MexiMelt®,270,14,7,1,40,740,21,3,2,14
Taco Bell,Double Tostada,270,11,4,0,15,650,32,8,2,12
Mcdonalds,6 Piece Chicken McNuggets,270,16,2.5,0,45,510,16,1,0,15
Dominos,COUNTRY SPECIAL LARGE,268.1,5.8,3.4,0.14,244.18,,42.1,4.08,5.8,11.9
KFC,Hot Wings 2 pc,267.1,16.7,6.6,0.04,23,0.3,17.1,9,0,12.1
KFC,1 pc,264.7,16.6,6.6,0.04,23,0.2,12.9,9,0,15.9
Dairy Queen,Corn Dog,260,15,4,0,20,450,26,1,7,6
Burger King,Hamburger,260,10,4,0,35,490,28,1,6,13
Chick Fil-A,8 piece Chicken Nuggets,260,12,3,0,70,990,9,1,1,28
Taco Bell,Triple Melt Nachos,260,16,4.5,0,30,550,19,3,1,10
Dominos,MARGHERITA LARGE,256.4,6,3.5,0.14,228,,38,4.2,5,12.1
Pizza Hut,Indi Rockin Roll - Chicken,255.65,10.9,4.64,0.09,46.48,544.72,27.07,2.41,5.34,12.32
Dominos,BBQ CHICKEN LARGE,255.4,5.6,4,0.16,219.52,,39.2,4.8,4.7,12
Dominos,SPICY TRIPLE TANGO LARGE,254.8,5.3,3,0.12,212.53,,40.1,3.6,4.9,11.8
Dominos,CHEFS CHICKEN CHOICE LARGE,254.7,5.8,2.5,0.1,180.38,,31.1,3,0.1,13.4
Dominos,FARM HOUSE LARGE,253.5,5.5,3.4,0.14,221.65,,40.3,4.08,4.6,10.8
Dominos,MEXICAN GREEN WAVE LARGE,253.4,5.3,3.6,0.14,215.18,,40.6,4.32,5.3,10.8
Dominos,CHEF'S VEG WONDER LARGE,253.4,5.2,3.1,0.12,204.36,,39.3,3.72,4.9,12.3
Mcdonalds,Hamburger,250,8,3,0,30,480,31,2,6,13
Starbucks,Ham & Cheese Savoury Foldover,250,11,6,0.3,50,480,24,1,4,13
Starbucks,Spinach Savoury Foldover,250,15,8,0,50,380,23,3,4,4
Starbucks,Blueberry Bar,250,13,6,0.3,20,180,35,3,4,4
Taco Bell,Grilled Steak Soft Taco,250,14,4,0,30,550,19,2,2,11
Taco Bell,Spicy Potato Soft Taco,250,13,3,0,10,510,28,3,1,6
Dairy Queen,Breaded Mushrooms,250,9,1,0,0,500,36,2,1,7
Pizza Hut,Garlic Bread,246.73,17.63,8.96,0.36,22.4,330.22,18.45,2.14,2.19,3.58
Dominos,VEG EXTRAVAGANZA LARGE,242.6,3.3,1.8,0.07,134.97,,40.9,2.16,4.1,12.3
Dominos,CHICKEN MEXICA LARGE,241.4,5.8,3.8,0.15,203,,35,4.56,4,12.3
Starbucks,Gluten Free Marshmallow Dream Bar,240,5,3,0.1,15,260,45,0,23,2
Starbucks,Cherry Oat Bar,240,8,5,0.3,25,190,36,1,22,3
Arbys,Jalapeno Roast Beef 'n Cheese Slider,240,11,4.5,0,30,670,21,1,1,14
Arbys,Roast Beef 'n Cheese Slider,240,11,4.5,0,30,670,21,1,1,14
Arbys,2 piece Prime-Cut Chicken Tenders,240,11,1.5,0,30,640,19,1,0,16
Dominos,CHICKEN LOVERS LARGE,238,4,2.3,0.09,127.6,,31.9,2.76,4.5,12.6
Dominos,SEVENTH HEAVEN LARGE,231.9,7.1,2.3,0.09,208.74,,29.4,2.76,4.4,14.1
Dominos,CLOUD 10 MEDIUM,231.2,7,5,0.2,221.2,,31.6,6,4,10.4
Subway,Italian Hero Salad,230,15,5,0,45,1060,13,4,8,14
Subway,Italian B.M.T.® Salad,230,15,6,0,45,1060,12,4,6,14
Subway,"6"" Veggie Delite",230,3,1,0,0,310,44,5,6,8
Arbys,Roast Turkey Farmhouse Salad,230,13,7,0,55,870,8,2,5,22
Starbucks,"Reduced-Fat Turkey-Style Bacon, Cheddar & Egg WhiteBreakfast Sandwich",230,6,2.5,0.1,25,540,28,2,3,13
Taco Bell,Soft Taco Supreme® – Beef,230,11,5,0,35,530,22,3,3,10
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,21,5,0,30,520,7,2,3,5
Chick Fil-A,2 Piece Chick-n-Strips,230,12,3,0,55,630,13,1,1,22
Dominos,CHICKEN FIESTA LARGE,227.7,6.5,3.4,0.14,207.35,,31.9,4.08,4.4,10.5
Dominos,CHICKEN DOMITOR MEDIUM,226.7,7.2,3.3,0.13,205.2,,28.5,3.96,3.4,12
Dominos,7 PEPPER LARGE,225.4,3.9,2.2,0.09,122.85,,31.5,2.64,3.2,10.1
Dominos,CHICKEN GOLDEN DELIGHT LARGE,225.1,1.9,1.2,0.05,79.99,,42.1,1.44,6.5,9.9
Dominos,CHEESE & BBQ CHICKEN LARGE,224.6,4.5,2.8,0.11,153,,34,3.36,3.2,12
Dominos,SEVENTH HEAVEN MEDIUM,224.4,6.1,2.2,0.09,169.58,,27.8,2.64,4.1,13.3
KFC,Regular Fries,224.1,10.4,4.9,0.02,13,0.2,27.5,5,0,5
Pizza Hut,Baked Momos (Chicken),223.71,13.45,4.85,0.095,40.46,542.52,15.72,2.95,2.85,9.94
Dominos,VEGGIE DELUXE PIZZA LARGE,220.5,5.2,3,0.12,175.24,,33.7,3.6,3.3,9.8
Mcdonalds,Premium Southwest Salad w/o Chicken,220,10,3.5,0,15,500,26,6,9,8
Subway,Double Chicken Salad,220,5,1.5,0,100,490,10,4,4,36
Burger King,Side Caesar Salad with dressing,220,20,4,0,10,540,7,2,3,6
Arbys,Corned Beef 'n Cheese Slider,220,9,3.5,0,30,890,21,1,1,14
Pizza Hut,Baked Momos (Veg),218.975,13.62,5.16,0.09,8.29,624.02,17.99,3.62,3.26,6.1
KFC,Pepsi Pet,215,0,0,0,0,0,36.3,0,36.3,0
Dominos,PEPPY PANEER LARGE,211.9,7.3,4.6,0.18,292,,40,5.52,4.9,11.6
Dominos,CHICKEN FIESTA MEDIUM,211.4,6.2,3.2,0.13,188.48,,30.4,3.84,4.2,10
Dominos,VEGGIE PARADISE LARGE,210.9,4.5,2.5,0.1,148.5,,33,3,3.7,9.1
Subway,Steak & Cheese Salad,210,8,4,0,50,830,14,4,6,20
Sonic,Corn Dog,210,11,4,0,20,530,23,2,4,6
Dominos,CHEESE & PEPPERONI MEDIUM,210,7.4,4.3,0.17,189.44,,25.6,5.16,3.6,10.2
Arbys,Ham 'n Cheese Slider,210,8,3,0,25,780,21,1,2,13
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,5,1,0,100,670,3,0,1,38
Taco Bell,Beefy Mini Quesadilla,210,12,4,0,25,560,17,3,1,9
Burger King,4 Piece Spicy Chicken Nuggets,210,15,3,0,20,570,11,2,0,8
Dominos,CHICKEN SALAMI SPECIAL MEDIUM,209.2,9.9,9.2,0.37,214.83,,21.7,11.04,2.9,8.4
Pizza Hut,Chicken Seekh Kebab (Medium),204.75,15.73,4.13,0.07,32.03,501.32,7.37,0.55,4.63,8.42
Pizza Hut,Veg kebab (Medium),202.06,13.36,3.78,0.06,4.01,580.03,14.33,0.72,4.9,6.12
Pizza Hut,Ebony & Ivory,201.84,6.52,4.79,0.01,3.28,142.35,34.73,2.15,20.79,1.38
Subway,Sweet Onion Chicken Teriyaki Salad,200,3,1,0,50,660,24,4,16,20
Subway,Subway Melt® Salad,200,10,5,0,45,910,13,4,6,18
Subway,Kids Mini Sub Roast Beef,200,3,1,0,25,390,30,4,5,14
Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,200,12,4.5,0,35,370,15,3,3,9
Arbys,Turkey 'n Cheese Slider,200,7,2.5,0,25,760,21,1,2,14
Taco Bell,Fiery Doritos® Locos Taco Supreme,200,12,5,0,30,390,15,3,2,9
Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,11,5,0,35,370,15,3,2,9
Taco Bell,Crunchy Taco Supreme®,200,12,5,0,35,320,15,3,2,9
Taco Bell,Soft Taco-Beef,200,9,4,0,25,510,19,3,1,10
Taco Bell,Spicy Tostada,200,10,2.5,0,10,440,22,4,1,7
Dominos,NON-VEG SUPREME MEDIUM,199.2,4.3,2.7,0.11,136.31,,31.7,3.24,3.5,8.3
Dominos,PEPPY PANEER MEDIUM,198.4,5.3,3.4,0.14,154.23,,29.1,4.08,3.5,8.5
Dominos,CHICKEN MEXICA MEDIUM,197.5,4.8,3.1,0.12,137.28,,28.6,3.72,3.2,10.1
Pizza Hut,Chicken Seekh Kebab (Personal),194.67,14.88,3.91,0.07,30.25,487.88,7.16,0.55,4.38,8.03
Dominos,CHEFS CHICKEN CHOICE MEDIUM,194.3,4.4,1.9,0.08,124.52,,28.3,2.28,0.1,10.2
Pizza Hut,Zesty Pocket (Veg),192.91,9.08,4.22,0.13,11.4,274.33,22.1,1.94,2.95,5.7
Pizza Hut,Veg kebab (Personal),192.02,12.63,3.58,0.06,3.78,561.88,13.73,0.71,4.62,5.86
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,12,5,0,40,660,9,3,3,14
Dominos,5 PEPPER REGULAR,190,3.3,1.8,0.07,104.28,,31.6,2.16,2.1,8.5
Taco Bell,Cheese Roll-Up,190,9,5,0,20,450,18,2,1,9
Chick Fil-A,6 piece Chicken Nuggets,190,9,1.5,0,55,730,7,1,0,21
Burger King,4 Piece Chicken Nuggets,190,11,2,0,25,310,10,1,0,10
Dominos,CHEESE & PEPPERONI REGULAR,189,6.7,3.8,0.15,154.77,,23.1,4.56,3.2,9.2
Dominos,BBQ CHICKEN MEDIUM,185.5,4.1,2.9,0.12,116.85,,28.5,3.48,3.4,8.7
Dominos,CHICKEN GOLDEN DELIGHT MEDIUM,185.2,1.5,1,0.04,52.05,,34.7,1.2,5.3,8.2
Dominos,FARM HOUSE MEDIUM,184.6,4,2.5,0.1,117.2,,29.3,3,3.4,1.9
Dominos,MARGHERITA MEDIUM,184.3,4.3,2.5,0.1,91.59,,21.3,3,3.6,9.1
Dominos,VEG EXTRAVAGANZA MEDIUM,184.2,2.5,1.3,0.05,77.75,,31.1,1.56,3.1,9.3
Dominos,MEXICAN GREEN WAVE MEDIUM,181.9,3.8,2.6,0.1,110.58,,29.1,3.12,3.8,7.7
KFC,"Mirinda
Regular",181.5,0,0,0,0,0,45.5,0,45.54,0
Dominos,CHEESE & BBQ CHICKEN MEDIUM,180.5,3.6,2.3,0.09,76.68,,21.3,2.76,2.6,9.7
Starbucks,Birthday Cake Pop,180,9,5,0,10,80,24,0,18,1
Subway,Cold Cut Combo Salad,180,11,4,0,45,820,12,4,5,12
Subway,Kids Mini Sub Black Forest Ham,180,3,0.5,0,10,450,30,3,5,10
Subway,Kids Mini Sub Turkey Breast,180,2,0.5,0,10,380,30,3,5,10
Taco Bell,Shredded Chicken Mini Quesadilla,180,8,2.5,0,25,540,15,2,1,12
Mcdonalds,4 Piece Chicken McNuggets,180,11,2,0,30,340,11,1,0,10
Dominos,CHEF'S VEG WONDER MEDIUM,178.9,3.1,2.2,0.09,67.58,,21.8,2.64,3.5,8.1
Dominos,VEGGIE DELUXE PIZZA MEDIUM,175.6,4.1,2.4,0.1,110.29,,26.9,2.88,2.6,1.8
Dominos,COUNTRY SPECIAL MEDIUM,175.5,3.8,2.2,0.09,81.7,,21.5,2.64,3.8,7.8
Dominos,SPICY TRIPLE TANGO MEDIUM,175.1,3.6,2,0.08,77.76,,21.6,2.4,3.4,8.1
KFC,1 pc,174.9,6.4,1.8,0.02,9,0.2,8,4,0,21.3
Dominos,NON-VEG SUPREME REGULAR,174.5,3.8,2.4,0.1,82.84,,21.8,2.88,3,7.3
Dominos,VEG EXTRAVAGANZA REGULAR,173.3,2.4,1.3,0.05,70.08,,29.2,1.56,2.9,8.8
Dominos,CHICKEN LOVERS MEDIUM,172.7,2.9,1.6,0.06,62.35,,21.5,1.92,3.3,9.1
Dominos,CLOUD 9 REGULAR,170.1,5.2,3.1,0.12,121.16,,23.3,3.72,2.9,7.1
Starbucks,Gluten Free Flourless Chocolate Cookie,170,5,2.5,0,0,110,30,2,26,2
Dominos,CHICKEN GOLDEN DELIGHT REGULAR,170,1.4,0.9,0.04,44.52,,31.8,1.08,4.9,1.5
Taco Bell,Fresco Soft Taco,170,7,3,0,20,500,20,3,2,8
Taco Bell,Chicken Soft Taco,170,6,3,0,30,460,18,1,1,12
Taco Bell,Fiery Doritos® Locos Taco,170,10,3.5,0,25,370,12,3,1,8
Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,9,4,0,25,340,13,2,1,8
Taco Bell,Crunchy Taco,170,10,4,0,25,290,12,3,1,8
Dominos,VEGGIE DELUXE PIZZA REGULAR,169.7,4,2.3,0.09,104,,26,2.76,2.5,1.5
Dominos,PEPPY PANEER REGULAR,168.8,4.5,2.9,0.12,111.6,,24.8,3.48,3,1.2
Dominos,CHEF'S VEG WONDER REGULAR,167.6,3.4,2.1,0.08,88.4,,26,2.52,3.3,8.1
Dominos,DOUBLE CHEESE MARGHERITA MEDIUM,166.7,3.1,2.3,0.09,80.29,,25.9,2.76,3.4,1.5
KFC,Mirinda,165,0,0,0,0,0,27.6,0,27.6,0
Dominos,CHEFS CHICKEN CHOICE REGULAR,163.9,3.1,1.6,0.06,74.09,,23.9,1.92,0.1,8.6
KFC,"Dew
Regular",161.7,0,0,0,0,0,40.6,0,40.59,0
Dominos,VEGGIE PARADISE MEDIUM,161.7,3.5,2,0.08,91.7,,26.2,2.4,3,7.7
Dominos,6 PEPPER MEDIUM,161.5,2.9,1.6,0.06,63.51,,21.9,1.92,2.4,7.5
Dominos,SPICY TRIPLE TANGO REGULAR,160.1,3.3,1.9,0.08,83.16,,25.2,2.28,3.1,1.4
Taco Bell,Cool Ranch® Doritos® Locos Taco,160,10,3.5,0,25,350,13,2,1,8
Starbucks,Whole Grain Oatmeal,160,2.5,0.5,0,0,125,28,4,0,5
Dominos,SEVENTH HEAVEN REGULAR,158.4,4.1,1.5,0.06,80.36,,19.6,1.8,2.9,9.4
Pizza Hut,Zesty Pocket (Chicken),157.99,6.45,1.96,0.04,15.35,327.26,18.01,1.81,3.19,6.97
Dominos,VEGGIE PARADISE REGULAR,156.7,3.3,1.9,0.08,80.85,,24.5,2.28,2.8,7.2
Dominos,CHICKEN MEXICA REGULAR,156.6,3.8,2.5,0.1,86.26,,22.7,3,2.6,8
Pizza Hut,Masala Mirinda,156.5,0.38,0.04,0,0,420,38.18,0.14,37.58,0.21
Dominos,FARM HOUSE REGULAR,156.5,3.4,2.1,0.08,84.66,,24.9,2.52,2.8,6.7
KFC,"7 Up
Regular",155.1,0,0,0,0,0,38.6,0,38.61,0
Dominos,COUNTRY SPECIAL REGULAR,153.2,3.3,1.9,0.08,79.2,,24,2.28,3.3,6.8
Dominos,BBQ CHICKEN REGULAR,152.1,3.3,2.4,0.1,76.89,,23.3,2.88,2.8,7.2
KFC,"Nashville Sauce Bottle
-225 g",150.8,0.2,1,0,5,0.2,7.1,2,1.4,1.1
Dominos,CHICKEN FIESTA REGULAR,150.1,4.3,2.2,0.09,90.3,,21,2.64,2.9,6.9
Dairy Queen,Grilled Chicken Garden Greens Salad,150,2,0.5,0,40,730,10,3,6,23
Subway,B.L.T. Salad,150,8,4,0,20,420,10,4,5,10
Subway,Kids Mini Sub Veggie Delite,150,2,0,0,0,190,29,3,4,6
Subway,Carved Turkey Salad,150,4,0,0,45,680,8,3,3,19
Taco Bell,Fresco Grilled Steak Soft Taco,150,4,2,0,15,500,19,2,2,9
Taco Bell,Fresco Chicken Soft Taco,150,4,1,0,25,460,18,2,2,11
Pizza Hut,Cheese Maxx (Medium),149.37,12.59,6.94,0.2,0.58,367.88,4.04,0.22,0,4.97
Pizza Hut,Cheese Maxx (Personal),147.38,12.27,6.79,0.2,1.51,373.73,4.05,0.24,0,5.17
Dominos,DOUBLE CHEESE MARGHERITA REGULAR,145.5,3.2,2,0.08,72.32,,22.6,2.4,3,6.5
Dominos,CHICKEN LOVERS REGULAR,145,2.4,1.4,0.06,55.44,,23.1,1.68,2.8,7.1
Dominos,MEXICAN GREEN WAVE REGULAR,144.5,3,2.1,0.08,69.3,,23.1,2.52,3,6.1
KFC,"Pepsi
Regular",141.9,0,0,0,0,0,36,0,35.97,0
Dominos,CHEESE & BBQ CHICKEN REGULAR,141.8,2.9,1.8,0.07,62.06,,21.4,2.16,2,7.6
Pizza Hut,Spicy Baked Chicken Wings,140.22,8.7,2.56,0.02,87.93,993.25,6.77,1.69,0,14.12
Mcdonalds,Premium Asian Salad w/o Chicken,140,7,0.5,0,0,20,13,5,7,7
Subway,Subway Club Salad,140,4,1,0,40,640,11,4,5,17
Subway,Roast Beef Salad,140,4,1,0,40,450,10,4,5,18
Subway,Oven Roasted Chicken Salad,140,3,0.5,0,50,280,10,4,4,19
Taco Bell,Fresco Crunchy Taco,140,8,2,0,20,290,13,3,1,6
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,4,1,0,70,440,2,0,0,25
Dominos,MARGHERITA REGULAR,138.5,3.2,1.9,0.08,65.6,,20.5,2.28,2.7,6.8
KFC,7Up,138,0,0,0,0,0,23.4,0,23.4,0
Pizza Hut,Mirinda,137.5,0,0,0,0,15,34.5,0,34.5,0
Pizza Hut,Jamuntini,134,0.38,0.04,0,0,450.09,32.18,0.14,31.58,0.21
Chick Fil-A,4 piece Chicken Nuggets,130,6,1.5,0,40,490,5,1,0,14
KFC,Pepsi,129,0,0,0,0,0,21.8,0,21.8,0
Pizza Hut,Masal Pepsi,126.5,0.38,0.04,0,0,412.59,30.93,0.14,30.33,0.21
KFC,"Sparkling
Vanilla Blue)",120.9,0,0,0,0,0,6,0,34,30.1
KFC,"(Virgin
Mojito/",120.4,0,0,0,0,0,6,0,22.32,30.1
Chick Fil-A,1 Piece Chick-n-Strips,120,6,3,0,25,320,6,0,1,11
Dominos,CHICKEN SALAMI SPECIAL REGULAR,116.7,8.3,1.7,0.07,151.89,,18.3,2.04,2.4,7.1
Pizza Hut,7 up,115,0,0,0,0,45,28.5,0,28.5,0
KFC,Red Bull,112.5,0,0,0,0,0,22,0,22,0
Dominos,CHICKEN DOMITOR REGULAR,112.5,5.5,2.5,0.1,119.35,,21.7,3,2.6,9.1
Subway,Black Forest Ham Salad,110,3,1,0,20,590,11,4,6,12
Subway,Turkey Breast & Ham Salad,110,3,1,0,25,580,11,4,5,12
Subway,Turkey Breast Salad,110,2,1,0,20,570,11,4,5,12
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,3,1,0,50,330,2,0,0,19
Pizza Hut,Pepsi,107.5,0,0,0,0,7.5,27.25,0,27.25,0
Starbucks,Dried Fruit,100,0.4,0,0,0,0,24,2,22,1
Sonic,Ultimate Chicken Club,100,64,15,0.5,100,2070,65,4,12,39
Starbucks,Nut Medley,100,10,1,0,0,0,2,1,1,2
Pizza Hut,Choco Vanilla Romance,90.48,1.62,1.21,0.01,3.28,40.309,17.93,0.45,13.48,1.36
KFC,"7up Krush
Lime",81.9,0,0,0,0,0.1,4.1,0,34.1,20.4
Starbucks,Seasonal Fruit Cup,80,0,0,0,0,15,20,3,17,1
KFC,"Dynamite
Spicy Mayo",77.4,7,1.2,0,5,0.1,3.4,2,1.6,0.2
Pizza Hut,Pepsi Black,74,0,0,0,0,22,18.6,0,18.6,0
KFC,"Creamy Veg
Mayo",73.9,7,1.1,0,5,0.2,2.5,2,1.28,0.2
KFC,Tandoori Masala Mayo,73.8,6.5,1.2,0,5,0.2,3.5,2,1.42,0.3
KFC,"Zesty thousand
Island Dip",72.3,6.3,1.2,0,5,0.2,3.6,2,2.5,0.3
Arbys,Chopped Side Salad,70,5,2.5,0,15,100,4,1,2,5
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,2,1,0,35,220,1,0,0,13
Starbucks,Maple Brown Sugar,50,0,0,0,0,3,13,0,12,0
Subway,Veggie Delite Salad,50,1,0,0,0,65,9,4,4,3
KFC,"Nashvillle
Dip",30.2,0.2,1,0,5,0.2,7.1,2,1.4,0.1
Dairy Queen,Side Salad,20,0,0,0,0,15,5,2,3,1
Pizza Hut,Lipton Ice Tea Lemon Flavoured,0,0,0,0,0,15,0,0,0,0
KFC,Pepsi Black,0,0,0,0,0,0,0,0,0,0
