,restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad,cheat_score
0,KFC,10 Pc Fried Leg,2880.0,82.6,33.0,0.2,112.0,1.1,85.1,45.0,0.0,178.6,,,,,5.19
1,KFC,"Super Sixes (4 HC, 6 HW,
8 Strips)",2816.5,41.5,17.0,0.08,57.0,0.8,39.5,23.0,0.0,172.1,,,,,4.56
2,KFC,"Triple Treat (4 HC + 4
Smoky + 6 Boneless
Strips)",2475.4,43.1,16.6,0.07,59.0,0.9,41.7,24.0,0.0,203.0,,,,,3.98
3,Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430.0,141.0,24.0,2.0,475.0,6080.0,103.0,2.0,3.0,186.0,0.0,2.0,8.0,Other,7.47
4,KFC,"10 for 550
(10 pc HC)
on Wednesdays",2382.2,49.8,19.7,0.11,70.0,0.7,38.8,28.0,0.0,143.3,,,,,3.92
5,KFC,"Friendship Bucket DL(3pc HC+3pc HW+3pc Strips + Large
Popcorn)",2131.4,42.2,17.5,0.07,58.0,0.9,41.1,23.0,0.0,124.8,,,,,3.38
6,KFC,8 pc Bucket,2117.5,44.2,17.5,0.1,62.0,0.6,34.5,25.0,0.0,127.4,,,,,3.39
7,Mcdonalds,40 piece Chicken McNuggets,1770.0,107.0,18.0,0.5,295.0,3370.0,105.0,7.0,1.0,98.0,0.0,15.0,6.0,Other,5.69
8,KFC,Big Eight ( 4pc smoky+ 4pc HC),1758.2,30.6,11.2,0.07,43.0,0.6,27.9,17.0,0.0,149.0,,,,,2.54
9,Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600.0,66.0,10.0,0.0,265.0,4450.0,156.0,5.0,87.0,97.0,8.0,40.0,10.0,Other,8.57
10,KFC,6 Pc,1588.2,49.8,19.7,0.11,70.0,0.7,38.8,28.0,0.0,95.6,,,,,2.71
11,KFC,"Mixed Zinger Doubles( 1 ch Zinger+1 Tandoori
Zinger)",1562.9,29.5,8.7,0.03,31.0,0.4,62.8,12.0,5.75,54.0,,,,,2.44
13,Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510.0,88.0,15.0,1.0,295.0,3770.0,64.0,1.0,2.0,115.0,0.0,2.0,6.0,Other,5.31
14,KFC,5 Pc Fried Leg,1440.0,41.3,16.5,0.08,56.0,0.5,42.6,22.0,0.0,89.3,,,,,2.31
15,KFC,"Dips Bucket (12 Pc + 4
Dips)",1434.5,24.9,10.9,0.03,33.0,0.6,27.6,13.0,10.53,108.1,,,,,2.32
16,KFC,"12 for 350
(12 BS + 4
dips) on Wednesdays",1434.5,24.9,10.9,0.0,33.0,0.6,27.6,13.0,0.0,108.1,,,,,1.89
17,KFC,8 pc Bucket,1398.8,17.0,4.9,0.05,24.0,0.6,21.4,10.0,0.0,170.5,,,,,1.64
19,KFC,"Chick & Share Bucket: 5 pc
Hot & Crispy",1323.5,41.5,16.4,0.09,58.0,0.5,32.3,23.0,0.0,79.6,,,,,2.18
22,KFC,Mingles Bucket,1269.4,35.9,15.2,0.05,48.0,0.9,46.8,19.0,0.0,62.3,,,,,1.96
27,Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210.0,70.0,12.0,1.0,240.0,3230.0,52.0,1.0,4.0,94.0,0.0,0.0,4.0,Other,4.53
28,KFC,Chick & Share Bucket: 10 pc Strips,1195.4,31.1,13.6,0.05,41.0,0.8,34.5,16.0,0.0,90.1,,,,,1.73
31,KFC,"Chick & Share Bucket: Xtra
Large Popcorn",1156.0,33.1,14.5,0.05,44.0,1.2,38.2,18.0,0.0,63.6,,,,,1.74
34,Mcdonalds,Double Bacon Smokehouse Burger,1130.0,67.0,27.0,3.0,220.0,1920.0,63.0,3.0,18.0,70.0,10.0,20.0,50.0,Other,4.39
42,KFC,4 pc,1058.8,33.2,13.1,0.07,47.0,0.4,25.8,19.0,0.0,63.7,,,,,1.65
44,KFC,6 Pc,1049.1,19.2,5.5,0.06,27.0,0.7,24.1,11.0,0.0,127.9,,,,,1.16
48,KFC,"Friendship Bucket DI/TA(3pc HC+3pc HW+3pc Strips +Med
Popcorn)",1022.6,21.9,4.5,0.07,15.0,0.5,24.4,6.0,1.16,34.9,,,,,1.26
53,KFC,Tandoori Zinger Burger,999.9,32.3,9.2,0.02,33.0,0.4,68.5,13.0,0.0,27.4,,,,,1.56
61,Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960.0,40.0,6.0,0.0,160.0,2670.0,94.0,3.0,52.0,58.0,4.0,25.0,8.0,Other,5.11
69,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920.0,45.0,12.0,0.5,120.0,1980.0,81.0,4.0,18.0,46.0,6.0,20.0,20.0,Other,3.62
73,Mcdonalds,20 Piece Chicken McNuggets,890.0,53.0,9.0,0.0,145.0,1680.0,53.0,4.0,0.0,49.0,0.0,8.0,4.0,Other,3.09
74,Taco Bell,XXL Grilled Stuft Burrito - Beef,880.0,42.0,14.0,1.0,75.0,2020.0,94.0,12.0,6.0,31.0,,,,Other,3.04
75,KFC,5 PC,874.3,16.0,4.6,0.05,22.0,0.6,20.1,9.0,0.0,106.6,,,,,0.81
80,Mcdonalds,Single Bacon Smokehouse Burger,840.0,45.0,17.0,1.5,130.0,1580.0,62.0,2.0,18.0,46.0,6.0,20.0,20.0,Other,3.45
85,Taco Bell,XXL Grilled Stuft Burrito - Chicken,830.0,35.0,11.0,0.0,85.0,1940.0,91.0,10.0,6.0,37.0,,,,Other,2.7
88,Taco Bell,XXL Grilled Stuft Burrito - Steak,820.0,36.0,12.0,1.0,70.0,2020.0,91.0,10.0,7.0,33.0,,,,Other,2.82
90,Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800.0,36.0,9.0,0.5,95.0,1820.0,80.0,5.0,18.0,39.0,4.0,20.0,30.0,Other,3.17
95,KFC,2 Classic Chicken Crisper,787.4,9.3,4.0,0.02,12.0,0.5,56.8,5.0,3.72,41.3,,,,,0.55
98,Taco Bell,Spicy Triple Double Crunchwrap,780.0,38.0,10.0,0.5,50.0,1850.0,87.0,9.0,8.0,23.0,20.0,10.0,25.0,Other,2.87
99,Taco Bell,Cantina Power Burrito - Steak,780.0,28.0,7.0,0.0,50.0,1900.0,98.0,13.0,7.0,33.0,,,,Other,2.4
101,Taco Bell,Fiesta Taco Salad-Beef,780.0,42.0,10.0,1.0,60.0,1340.0,74.0,11.0,7.0,26.0,,,,Other,2.79
102,KFC,"Dynamite Spicy Mayo bottle -200
g",774.0,7.0,1.2,0.0,5.0,0.1,3.4,2.0,1.6,2.0,,,,,0.34
103,Mcdonalds,Double Quarter Pounder速 with Cheese,770.0,45.0,21.0,2.5,175.0,1290.0,42.0,3.0,10.0,51.0,20.0,6.0,20.0,Other,3.03
110,Taco Bell,Cantina Power Burrito - Chicken,760.0,27.0,6.0,0.0,60.0,1960.0,96.0,12.0,7.0,32.0,,,,Other,2.37
112,Taco Bell,Nachos BellGrande速,760.0,39.0,6.0,0.0,30.0,1100.0,82.0,13.0,5.0,18.0,,,,Other,2.47
113,Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760.0,44.0,8.0,0.5,145.0,1890.0,32.0,1.0,1.0,58.0,0.0,0.0,2.0,Other,2.9
114,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750.0,31.0,10.0,0.5,155.0,1940.0,62.0,2.0,18.0,55.0,6.0,25.0,20.0,Other,2.99
119,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740.0,35.0,9.0,0.5,95.0,1780.0,69.0,5.0,14.0,39.0,4.0,20.0,290.0,Other,2.95
123,Taco Bell,Cantina Power Burrito - Veggie,740.0,26.0,5.0,0.0,10.0,1750.0,107.0,17.0,8.0,20.0,,,,Other,2.26
128,Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730.0,33.0,7.0,0.0,80.0,1430.0,75.0,5.0,13.0,32.0,20.0,20.0,30.0,Other,2.66
133,Taco Bell,Fiesta Taco Salad-Steak,720.0,36.0,8.0,1.0,55.0,1340.0,70.0,8.0,8.0,28.0,,,,Other,2.57
134,Taco Bell,Fiesta Taco Salad-Chicken,720.0,35.0,7.0,0.0,70.0,1260.0,70.0,8.0,8.0,32.0,,,,Other,2.48
138,KFC,Boneless Strips 6pc,717.2,37.3,16.3,0.06,49.0,0.9,41.3,20.0,0.0,54.1,,,,,1.71
144,Taco Bell,Smothered Burrito - Beef,710.0,35.0,13.0,1.0,75.0,2260.0,70.0,10.0,4.0,28.0,,,,Other,2.78
145,Taco Bell,Nacho Fries Bellgrande,710.0,41.0,6.0,0.0,30.0,1420.0,73.0,10.0,4.0,13.0,10.0,4.0,8.0,Other,2.7
148,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700.0,34.0,9.0,0.0,85.0,1190.0,67.0,5.0,11.0,33.0,10.0,15.0,35.0,Other,2.53
150,Taco Bell,Original Triple Double Crunchwrap,700.0,30.0,9.0,0.5,45.0,1550.0,85.0,9.0,7.0,23.0,15.0,6.0,25.0,Other,2.33
151,KFC,4 pc,699.4,25.5,7.3,0.07,36.0,1.0,32.1,14.0,0.0,85.3,,,,,1.11
154,Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690.0,37.0,14.0,1.5,110.0,1310.0,51.0,3.0,14.0,38.0,6.0,15.0,15.0,Other,2.87
158,KFC,2 Classic veg Crispers,684.4,27.6,9.5,0.03,30.0,0.4,54.6,12.0,6.32,17.7,,,,,1.47
160,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680.0,32.0,7.0,0.0,80.0,1430.0,69.0,6.0,12.0,31.0,8.0,15.0,30.0,Other,2.58
165,Mcdonalds,Signature Sriracha Burger,670.0,35.0,12.0,1.5,95.0,1010.0,56.0,4.0,13.0,32.0,20.0,15.0,30.0,Other,2.6
168,Taco Bell,Smothered Burrito - Steak,670.0,29.0,11.0,0.5,80.0,2080.0,68.0,7.0,4.0,35.0,,,,Other,2.4
176,Taco Bell,Beef Quesarito,650.0,34.0,12.0,0.5,60.0,1450.0,65.0,6.0,5.0,22.0,,,,Other,2.44
177,Taco Bell,Smothered Burrito - Shredded Chicken,650.0,28.0,10.0,0.0,70.0,2230.0,67.0,8.0,4.0,34.0,,,,Other,2.42
178,Taco Bell,Crispy Chicken Quesadilla,650.0,37.0,13.0,0.5,75.0,1480.0,51.0,5.0,3.0,26.0,10.0,2.0,45.0,Other,2.54
179,Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640.0,27.0,4.0,0.0,105.0,1780.0,63.0,2.0,35.0,39.0,4.0,15.0,4.0,Other,3.41
183,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640.0,36.0,14.0,1.5,110.0,1260.0,40.0,3.0,10.0,37.0,6.0,15.0,15.0,Other,2.68
190,Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630.0,22.0,7.0,0.0,135.0,1930.0,61.0,4.0,18.0,48.0,4.0,30.0,25.0,Other,2.51
194,Taco Bell,Beef Crunchy Cheesy Core Burrito,630.0,26.0,10.0,0.5,45.0,1530.0,76.0,7.0,5.0,22.0,15.0,4.0,35.0,Other,2.04
195,Taco Bell,Steak Quesarito,630.0,31.0,11.0,0.5,65.0,1410.0,64.0,3.0,4.0,25.0,,,,Other,2.23
198,KFC,Veg Zinger Burger,623.0,25.7,9.5,0.02,28.0,0.4,83.4,11.0,14.13,14.5,,,,,1.7
201,Mcdonalds,Garlic White Cheddar Burger,620.0,34.0,13.0,1.5,95.0,790.0,48.0,3.0,11.0,32.0,10.0,10.0,35.0,Other,2.41
203,Taco Bell,Chicken Quesarito,620.0,30.0,10.0,0.0,60.0,1440.0,64.0,4.0,4.0,24.0,,,,Other,2.2
204,Taco Bell,Chickstar,620.0,37.0,8.0,0.0,50.0,1290.0,53.0,4.0,4.0,17.0,8.0,6.0,15.0,Other,2.53
207,Taco Bell,Steak Crunchy Cheesy Core Burrito,610.0,24.0,9.0,0.0,50.0,1520.0,75.0,5.0,5.0,25.0,10.0,4.0,40.0,Other,1.93
208,Taco Bell,Chicken Crunchy Cheesy Core Burrito,610.0,24.0,9.0,0.0,55.0,1510.0,74.0,5.0,5.0,25.0,10.0,4.0,35.0,Other,1.92
215,Taco Bell,Spicy Double Chalupa,600.0,35.0,8.0,0.5,50.0,1240.0,52.0,7.0,5.0,21.0,15.0,8.0,15.0,Other,2.46
216,Taco Bell,Double Chalupa,600.0,35.0,8.0,0.5,50.0,1010.0,50.0,6.0,5.0,21.0,15.0,4.0,15.0,Other,2.36
224,KFC,Double Down burger,588.7,33.7,12.2,0.07,40.0,1.0,33.8,16.0,2.79,37.6,,,,,1.75
225,KFC,Popcorn Chicken,587.4,24.4,10.0,0.0,28.0,1.3,69.7,11.0,0.0,23.4,,,,,1.07
226,KFC,Classic chicken biryani,586.5,27.4,10.3,0.0,34.0,1.0,56.4,14.0,0.0,28.4,,,,,1.26
232,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580.0,21.0,8.0,0.0,135.0,1890.0,50.0,3.0,14.0,48.0,4.0,30.0,30.0,Other,2.28
236,Taco Bell,Express Taco Salad w/ Chips,580.0,29.0,9.0,1.0,60.0,1270.0,59.0,8.0,7.0,23.0,,,,Other,2.22
237,Taco Bell,Express Taco Salad w/ Chips,580.0,29.0,9.0,1.0,60.0,1270.0,59.0,8.0,7.0,23.0,,,,Other,2.22
238,Mcdonalds,Pico Guacamole 1/4 lb Burger,580.0,33.0,12.0,1.5,95.0,920.0,41.0,4.0,7.0,29.0,8.0,15.0,15.0,Other,2.31
240,Taco Bell,Cantina Power Bowl - Steak,580.0,23.0,4.0,0.0,50.0,1460.0,66.0,10.0,4.0,27.0,,,,Other,1.81
241,KFC,Popcorn Lrg,578.0,33.1,14.5,0.05,44.0,1.2,38.2,18.0,0.0,31.8,,,,,1.62
242,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570.0,23.0,5.0,0.0,60.0,1050.0,64.0,4.0,11.0,28.0,4.0,10.0,20.0,Other,1.91
248,Taco Bell,Beef Spicy Cheesy Core Burrito,570.0,23.0,10.0,0.5,45.0,1760.0,68.0,7.0,5.0,22.0,15.0,6.0,35.0,Other,1.99
249,Taco Bell,Double Cheesy Gordita Crunch,570.0,32.0,12.0,1.0,70.0,1110.0,44.0,7.0,5.0,25.0,15.0,2.0,30.0,Other,2.27
254,KFC,"Chicken
Zinger Burger",563.1,26.6,8.2,0.04,28.0,0.3,57.1,11.0,11.51,26.6,,,,,1.69
260,Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560.0,20.0,5.0,0.0,115.0,1550.0,56.0,4.0,14.0,41.0,20.0,25.0,30.0,Other,2.07
261,Taco Bell,Cantina Power Bowl - Chicken,560.0,22.0,4.0,0.0,60.0,1520.0,64.0,9.0,4.0,26.0,,,,Other,1.79
269,Taco Bell,Steak Spicy Cheesy Core Burrito,550.0,21.0,9.0,0.0,50.0,1750.0,66.0,5.0,5.0,24.0,10.0,6.0,35.0,Other,1.87
272,Taco Bell,Beefy 5-Layer Burrito,550.0,22.0,8.0,0.0,35.0,1270.0,68.0,8.0,5.0,19.0,,,,Other,1.72
273,Taco Bell,Loaded Taco Burrito,550.0,29.0,9.0,0.5,50.0,1130.0,52.0,7.0,4.0,20.0,15.0,6.0,20.0,Other,2.07
282,Mcdonalds,Big Mac,540.0,28.0,10.0,1.0,80.0,950.0,46.0,3.0,9.0,25.0,10.0,2.0,15.0,Other,2.14
284,Taco Bell,Crunchwrap Supreme速,540.0,21.0,6.0,0.0,30.0,1110.0,71.0,7.0,7.0,16.0,,,,Other,1.66
287,Taco Bell,Chicken Spicy Cheesy Core Burrito,540.0,20.0,8.0,0.0,55.0,1740.0,66.0,5.0,5.0,24.0,15.0,8.0,35.0,Other,1.8
288,Taco Bell,1/2 lb.* Cheesy Potato Burrito,540.0,26.0,7.0,1.0,45.0,1360.0,59.0,7.0,4.0,19.0,,,,Other,1.99
289,Taco Bell,Cantina Power Bowl - Veggie,540.0,21.0,3.0,0.0,10.0,1310.0,75.0,14.0,4.0,14.0,,,,Other,1.64
291,Taco Bell,Mexican Pizza,540.0,31.0,8.0,1.0,40.0,860.0,47.0,7.0,2.0,20.0,,,,Other,2.02
293,KFC,Hot Wings 4 Pc,534.3,33.4,13.3,0.08,46.0,0.7,34.2,18.0,0.0,24.2,,,,,1.72
297,Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530.0,22.0,4.0,0.0,45.0,1000.0,59.0,3.0,13.0,25.0,6.0,10.0,20.0,Other,1.93
298,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530.0,20.0,7.0,0.0,125.0,1150.0,48.0,3.0,11.0,42.0,10.0,20.0,35.0,Other,1.78
299,Mcdonalds,Quarter Pounder速 with Cheese,530.0,27.0,13.0,1.5,100.0,1090.0,41.0,3.0,10.0,31.0,20.0,6.0,15.0,Other,2.19
303,KFC,2 pc,529.4,33.2,13.1,0.07,47.0,0.4,25.8,19.0,0.0,31.9,,,,,1.72
307,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520.0,18.0,6.0,0.0,115.0,1540.0,50.0,4.0,12.0,40.0,8.0,25.0,30.0,Other,1.87
308,Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520.0,25.0,6.0,0.0,75.0,960.0,46.0,8.0,9.0,28.0,180.0,40.0,20.0,Other,1.97
312,Taco Bell,Steak Quesadilla,520.0,28.0,12.0,1.0,65.0,1250.0,41.0,4.0,3.0,25.0,,,,Other,2.07
313,Taco Bell,Chicken Quesadilla,520.0,28.0,12.0,1.0,75.0,1210.0,41.0,4.0,3.0,27.0,,,,Other,2.05
316,KFC,Veg Biryani,512.4,19.3,7.7,0.0,30.0,1.2,74.5,12.0,0.0,9.7,,,,,0.78
319,Mcdonalds,Classic Chicken Sandwich,510.0,24.0,4.0,0.0,65.0,1040.0,49.0,3.0,6.0,25.0,0.0,4.0,2.0,Other,1.83
321,Taco Bell,7-Layer Burrito,510.0,19.0,7.0,0.0,20.0,1090.0,68.0,11.0,4.0,16.0,,,,Other,1.42
322,KFC,"Smoky Chicken
Biryani",509.5,18.4,6.5,0.0,20.0,1.4,64.0,8.0,0.0,22.4,,,,,0.72
